time,use [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,hour,day_of_week,month,day_of_year,is_weekend,is_nighttime,hour_sin,hour_cos,day_sin,day_cos,lag_1h,lag_2h,lag_3h,lag_24h,lag_48h,lag_168h,rolling_mean_3h,rolling_mean_24h,rolling_std_24h,rolling_max_24h
2016-01-08 00:00:00,1.0208558334166666,1.0208558334166666,7.305723333333334e-05,0.2028177777666666,0.2834508333333333,0.0509288889166666,0.12236305555,0.0940180556,0.0129288888833333,0.0003694443833333,0.0001480527666666,0.0302597222833333,0.00100555565,0.0042500000333333,0.0015716666666666,0.0029613888833333,17.804,0.778,9.906,9.76,1024.822,5.585999999999999,0.13,18.4,0.0,12.168,0.0,0,4,1,8,0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,1.2949163888000002,1.2152188888833335,1.0902336111333333,0.5801547222333333,1.0806552777666667,1.0441297222333334,1.2001229629388888,0.9213169444548611,0.312540399001674,1.5086883334
2016-01-08 01:00:00,0.9168816667,0.9168816667,4.750221666666666e-05,0.1450141667166666,0.32935333335,0.0504602778166666,0.12223777775,0.0069650000333333,0.0131011110833333,0.00035555545,0.0001769361166666,0.0302319444166666,0.0010058334166666,0.0041927778333333,0.0016225,0.0030174999833333,17.910000000000004,0.7966666666666667,9.761666666666668,9.705,1024.9283333333335,5.74,0.0816666666666666,25.666666666666668,0.0,12.675,0.0,1,4,1,8,0,1,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,1.0208558334166666,1.2949163888000002,1.2152188888833335,0.6889436111333332,0.9503625001,0.9181669444666668,1.1769970370333331,0.9396794907541667,0.3044666367938794,1.5086883334
2016-01-08 02:00:00,1.1224388889166663,1.1224388889166663,0.0001341645166666,0.4213269444833333,0.2829755555833333,0.0510208333,0.1220972221833333,0.0067524999833333,0.01264138895,0.0003991666,0.0001519433666666,0.0324486111333333,0.0010111112166666,0.0041891666833333,0.00161999995,0.0030161111666666,20.13266666666667,0.7826666666666667,9.721333333333336,13.554666666666666,1024.928666666667,4.6466666666666665,0.148,18.33333333333333,0.0,14.425333333333333,0.0,2,4,1,8,0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.9168816667,1.0208558334166666,1.2949163888000002,0.9332530556,0.96437277775,0.7147361110833333,1.0775512963055554,0.949176909736111,0.2998249412001128,1.5086883334
2016-01-08 03:00:00,0.8854461111166666,0.8854461111166666,7.194725e-05,0.2285091666499999,0.2431275000666666,0.0548552776833333,0.1223438888666666,0.0068569444333333,0.0129275,0.0003847221833333,0.0001308327833333,0.0328211110833333,0.0010088889833333,0.0042102776833333,0.0016255555333333,0.00302,25.096,0.735,9.81,19.684,1025.344,4.345,0.088,25.1,0.0,17.911,0.0,3,4,1,8,0,1,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,1.1224388889166663,0.9168816667,1.0208558334166666,0.7986150000166667,0.9334744444666666,0.9600127777833334,1.020058796344444,0.9570596527909722,0.30186807760685475,1.5086883334
2016-01-08 04:00:00,1.0109341666666667,1.0109341666666667,3.805668333333333e-05,0.2493402777666666,0.3219236111,0.05089388885,0.1224974999,0.0068663889166666,0.0128958333166666,0.0003622222333333,8.500278333333334e-05,0.0300391666333333,0.001006389,0.0040522223,0.0016094444333333,0.0031524999833333,30.958,0.6553333333333333,9.988,25.554666666666662,1025.67,5.338,0.0986666666666666,39.06666666666667,0.0,20.93933333333333,0.0,4,4,1,8,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8854461111166666,1.1224388889166663,0.9168816667,0.80894222225,0.9925905555833334,0.6398363888666666,0.9749222222444441,0.9606776157534722,0.3004033067329255,1.5086883334
2016-01-08 05:00:00,1.3803936111333333,1.3803936111333333,7.804668333333334e-05,0.41464027775,0.5077847222,0.05039749995,0.12343944445,0.0068499999999999,0.0126827777666666,0.0003552776833333,0.00012750225,0.0323986111333333,0.00100805565,0.0040005555666666,0.0016013889333333,0.0032222222166666,35.14866666666667,0.6016666666666667,9.961333333333334,29.671,1025.2936666666667,6.444333333333334,0.1483333333333333,37.1,0.0,22.734666666666666,0.0,5,4,1,8,0,1,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,1.0109341666666667,0.8854461111166666,1.1224388889166663,1.3110344444666666,1.4492094444333332,1.2194161111,1.0062730555666664,0.9690939467708333,0.2987926017804452,1.5086883334
2016-01-08 06:00:00,0.8662641666666667,0.8662641666666667,3.7785e-05,0.0739419444166666,0.3333188889,0.0508191666666666,0.124405,0.0069541667,0.0130266666833333,0.0003427777333333,0.00019555335,0.0350861110833333,0.0010155555833333,0.00399694445,0.0016002778166666,0.0032297222333333,36.824333333333335,0.5996666666666666,10.0,32.062666666666665,1024.747,5.882666666666666,0.0773333333333333,39.06666666666667,0.0,24.048,0.0,6,4,1,8,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.3803936111333333,1.0109341666666667,0.8854461111166666,0.9361738889333334,1.41949,0.7987472222833334,1.092257962972222,0.9719839120486111,0.3025554278049623,1.5086883334
2016-01-08 07:00:00,1.3608508332833331,1.3608508332833331,0.0001636155,0.419166111,0.1741102777833333,0.0492330555166666,0.1243372222333333,0.0066869444333333,0.0124172222166666,0.00049111115,0.1082897255833333,0.0326983333333333,0.0910591667666666,0.0040016667,0.1974288889,0.0031972216666666,38.41733333333333,0.5906666666666667,10.0,33.88,1024.3333333333333,5.992,0.2846666666666666,41.73333333333333,0.0,25.216,0.0,7,4,1,8,0,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8662641666666667,1.3803936111333333,1.0109341666666667,1.0214688888666668,1.1963288889166668,0.5370547221499999,1.0858639814888886,0.9690710069541667,0.30325091956486766,1.5086883334
2016-01-08 08:00:00,0.7769394445,0.7769394445,0.0104875055833333,0.0568952777833333,0.0656536110833333,0.0489563888666666,0.1225883333666666,0.0067886110666666,0.0180327777666666,0.0003061111166666,2.2783333333333333e-05,0.0269822222,0.0010300000833333,0.0040005555833333,0.3041938889,0.0212005556166666,38.618,0.602,10.0,33.831,1023.821,6.438000000000001,0.2029999999999999,52.2,0.0,26.151,0.0,8,4,1,8,0,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1.3608508332833331,0.8662641666666667,1.3803936111333333,0.7240202778,0.7264519444333334,0.3583766666833333,1.2025028703611107,0.9832119213048611,0.31353888104161187,1.5086883334
2016-01-08 09:00:00,1.2038488889,1.2038488889,0.5718152778333334,0.1789969445,0.0718369444333333,0.0492975000666666,0.1195050000333333,0.0064969445166666,0.0122947222,0.0004727778,0.00047666995,0.0280366666833333,0.0010208334,0.0040052778333333,0.0013361110999999,0.07174527775,38.088,0.624,10.0,33.303333333333335,1023.798,6.285333333333333,0.1493333333333333,53.333333333333336,0.0,26.287333333333333,0.0,9,4,1,8,0,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.7769394445,1.3608508332833331,0.8662641666666667,0.9777186111166666,0.73754888895,0.7567202778333333,1.0013514814833329,0.9854168865840278,0.31181821836296836,1.5086883334
